Receipt_ID,Total,Date,Expense_Type,Spec Type,
1,19.69,1/8/2014,Meal,Dinner,
4,12,2/10/2012,Entertainment,N/A,
8,14.5,12/25/2009,Taxi,N/A,
10,2.81,9/3/2008,Fuel,N/A,
16,16.28,7/31/2014,Meal,Lunch,
24,21.75,7/1/2012,Meal,Dinner,
28,10.85,10/27/2009,Meal,Dinner,
29,81.62,10/24/2012,Meal,Dinner,
33,273.34,4/11/2009,Meal,Dinner,
34,3.41,11/10/2008,Meal,Lunch,
37,12,12/31/2011,Coffee,N/A,
38,27.13,3/24/2013,Meal,Lunch,
40,210.8,4/24/2014,Meal,Lunch,
42,181.87,5/23/2011,Software,N/A,
43,28.88,7/30/2015,Meal,Lunch,
45,4.27,6/13/2013,Meal,Lunch,
46,36.34,11/4/2009,Meal,Lunch,
50,19.82,9/12/2007,Meal,Dinner,
51,95,12/19/2004,Taxi,N/A,
52,28.05,5/9/2011,Meal,Breakfast,
53,37.5,5/16/2014,Miscellaneous,N/A,
55,169.82,1/19/2013,Meal,Dinner,
58,28.17,8/3/2011,Meal,Lunch,
62,19.48,12/12/2011,Miscellaneous,N/A,
63,19.9,7/23/2014,Meal,N/A,
64,1.55,1/19/2012,Groceries,N/A,
103,141.78,2/8/2011,Groceries,N/A,
104,8.32,12/31/2008,Meal,N/A,
119,1596.46,12/4/2009,Miscellaneous,N/A,
120,44.75,8/4/2014,Taxi,N/A,
126,482.69,1/16/2012,Meal,Dinner,
129,6.05,11/7/2012,Taxi,N/A,
134,17.07,9/6/2014,Meal,Lunch,
135,3.56,1/10/2014,Coffee,N/A,
136,65,12/5/2010,Meal,Dinner,
140,217.55,7/23/2008,Entertainment,N/A,
141,18.12,11/15/2014,Meal,Lunch,
142,4.32,11/12/2005,Groceries,N/A,
162,9.23,9/23/2009,Meal,Lunch,
168,48.29,5/21/2015,Meal,Lunch,
170,42.71,12/4/2013,Meal,Lunch,
173,50.59,1/15/2011,Office Supplies,N/A,
174,27.2,1/6/2007,Meal,Dinner,
175,68.7,8/6/2012,Miscellaneous,N/A,
179,10.25,9/1/2015,Taxi,N/A,
180,39,8/20/2012,Meal,Lunch,
183,375.05,9/18/2007,Office Supplies,N/A,
185,214,3/26/2011,Car Rental,N/A,
190,453.19,3/15/2014,Miscellaneous,N/A,
193,54.18,1/24/2010,Meal,Lunch,
194,9.14,7/28/2012,Meal,Lunch,
202,28.84,8/11/2015,Miscellaneous,N/A,
217,97.85,12/24/2005,Meal,Lunch,
218,127.65,7/23/2009,Meal,Dinner,
220,"2,177.50",2/6/2013,Miscellaneous,N/A,
229,15,11/22/2007,Meal,Dinner,
230,36.8,2/12/2005,Groceries,N/A,
231,31.77,8/7/2010,Coffee,N/A,
235,17.13,2/18/2011,Groceries,N/A,
236,9.8,8/1/2012,Meal,Dinner,
237,3.54,11/24/2012,Meal,Lunch,
240,80,1/14/2008,Tolls/Road Changes,N/A,
242,23.76,11/5/2014,Coffee,N/A,
243,302.34,12/7/1992,Miscellaneous,N/A,
244,5.58,4/18/2014,Miscellaneous,N/A,
249,38.48,4/14/2011,Meal,Dinner,
250,40.54,2/14/2012,Meal,Lunch,
254,72.21,3/6/2014,Miscellaneous,N/A,
255,5.2,5/25/2009,Coffee,N/A,
256,70.75,4/24/2007,Miscellaneous,N/A,
258,8.1,2/16/2015,Meal,N/A,
